U+F3AF		⿰口端	U+2D2EC	𭋬
U+F3CC		⿰英微	U+9FE6	鿦
U+F3CD		⿰耶格	U+9FE4	鿤
U+F3CE		⿰伊格	U+9FDA	鿚
U+F3CF		⿰耶克	U+9FE3	鿣
U+F3D0		⿰伊克	U+9FD9	鿙
U+F3D1		⿰拉爾	U+9FDC	鿜
U+F3D2		⿰郎爾	U+9FE5	鿥
U+F3D3		⿰列爾	U+9FDE	鿞
U+F3D4		⿰楞爾	U+9FDD	鿝
U+F3D5		⿰雷爾	U+9FE8	鿨
U+F3D6		⿰利爾	U+9FE0	鿠
U+F3D7		⿰利尔	U+9FDF	鿟
U+F3D8		⿰凌爾	U+9FDB	鿛
U+F3D9		⿰羅爾	U+9FE1	鿡
U+F3DA		⿰隆爾	U+9FE7	鿧
U+F3DB		⿰魯爾	U+9FE9	鿩
U+F3DC		⿰耶合	U+9FE2	鿢
U+F3DD		⿰伊合	U+9FD8	鿘
U+F3DE		⿱合一	U+9FD6	鿖
U+F3E5		⿰口稜	U+2D2D3	𭋓
U+F3F4		⿰目蓋	U+2DFEB	𭿫
U+F3F7		⿰氵属	U+2DCAB	𭲫
U+F3F8		⿰氵⿸尸⿱此𠮷	U+2DCD9	𭳙
U+F3F9		⿰扌𬙙	U+2D865	𭡥
U+F400		⿰書史	U+2DA21	𭨡
U+F401		⿰立生	U+2E12B	𮄫
U+F402		⿰六鳥	U+2EB2D	𮬭
U+F403		⿰子力	U+2D4B9	𭒹
U+F405		⿰𧾷馬	U+2E703	𮜃
U+F408		⿰亻众	U+2CF80	𬾀
U+F409		⿰亻爹	U+2CFC7	𬿇
U+F40E		⿱比去	U+2D19B	𭆛
U+F410		⿱宀兰	U+2D4E8	𭓨
U+F466		⿰扌覧	U+2D8C4	𭣄
U+F477		⿰巾骨	U+2D631	𭘱
U+F480		⿰氵当	U+2DC0E	𭰎
U+F4A0		⿰身甹	U+2E737	𮜷
U+F4A1		⿰米旨	U+2E1D6	𮇖
U+F4C8		⿰釒忌	U+2E881	𮢁
U+F4D6		⿰口刹	U+2D217	𭈗
U+F4E4		⿱穴怽	U+2E106	𮄆
U+F4E5		⿰口𠇍	U+2D1E7	𭇧
U+F4E6		⿳山𠆢土	U+2D58F	𭖏
U+F4E7		⿰厄殳	U+2DBA8	𭮨
U+F4E8		⿰石示	U+2E014	𮀔
U+F4EA		⿰方亶	U+2D946	𭥆
U+F4EB		⿰角欠	U+2E5E6	𮗦
U+F4F0		⿰爿攵	U+2DDC1	𭷁
U+F4F2		⿳𠆢伊一	U+9FD7	鿗
U+F508		⿰宜我	U+2D512	𭔒
U+F50D		⿰犭甾	U+2DE16	𭸖
U+F57C		⿰阝尃	U+2E955	𮥕
U+F60A		⿰阝寺	U+2E942	𮥂
U+F61E		⿱宀占	U+2D4E5	𭓥
U+F634		⿰魚攴	U+2EAF1	𮫱
U+F63F		⿺辶各	U+2E791	𮞑
U+F640		⿱貝寸	U+2E66E	𮙮
U+F675		⿰氵興	U+2DCE2	𭳢
U+F6FD		⿰方𠂉	U+2D928	𭤨
U+F6FE		⿰日鳥	U+2D9D8	𭧘
U+F710		⿰礻象	U+2E09A	𮂚
U+F750		⿰睘攵	U+2D90C	𭤌
U+F78F		⿱加車	U+2E74B	𮝋
